Machine 2 log started at 2025-03-05 09:19:23.719852
Clock rate: 4 ticks per second
2025-03-05 09:19:24 | RECEIVE | Clock: 2 | Message clock: 1, Queue length: 1
2025-03-05 09:19:24 | RECEIVE | Clock: 4 | Message clock: 3, Queue length: 0
2025-03-05 09:19:25 | INTERNAL | Clock: 5 | Internal event
2025-03-05 09:19:25 | INTERNAL | Clock: 6 | Internal event
2025-03-05 09:19:25 | INTERNAL | Clock: 7 | Internal event
2025-03-05 09:19:25 | SEND | Clock: 8 | Sent to machine 3
2025-03-05 09:19:26 | RECEIVE | Clock: 11 | Message clock: 10, Queue length: 0
2025-03-05 09:19:26 | INTERNAL | Clock: 12 | Internal event
2025-03-05 09:19:26 | INTERNAL | Clock: 13 | Internal event
2025-03-05 09:19:27 | INTERNAL | Clock: 14 | Internal event
2025-03-05 09:19:27 | SEND | Clock: 15 | Sent to machine 3
2025-03-05 09:19:27 | INTERNAL | Clock: 16 | Internal event
2025-03-05 09:19:27 | INTERNAL | Clock: 17 | Internal event
2025-03-05 09:19:28 | RECEIVE | Clock: 19 | Message clock: 18, Queue length: 0
2025-03-05 09:19:28 | RECEIVE | Clock: 22 | Message clock: 21, Queue length: 0
2025-03-05 09:19:28 | SEND | Clock: 23 | Sent to machine 3
2025-03-05 09:19:28 | INTERNAL | Clock: 24 | Internal event
2025-03-05 09:19:29 | SEND | Clock: 25 | Sent to machine 1
2025-03-05 09:19:29 | RECEIVE | Clock: 27 | Message clock: 26, Queue length: 0
2025-03-05 09:19:29 | INTERNAL | Clock: 28 | Internal event
2025-03-05 09:19:29 | INTERNAL | Clock: 29 | Internal event
2025-03-05 09:19:30 | INTERNAL | Clock: 30 | Internal event
2025-03-05 09:19:30 | INTERNAL | Clock: 31 | Internal event
2025-03-05 09:19:30 | INTERNAL | Clock: 32 | Internal event
2025-03-05 09:19:30 | RECEIVE | Clock: 33 | Message clock: 31, Queue length: 0
2025-03-05 09:19:31 | SEND | Clock: 34 | Sent to machine 1
2025-03-05 09:19:31 | SEND | Clock: 35 | Sent to machine 3
2025-03-05 09:19:31 | INTERNAL | Clock: 36 | Internal event
2025-03-05 09:19:31 | INTERNAL | Clock: 37 | Internal event
2025-03-05 09:19:31 | SEND | Clock: 38 | Sent to machine 1
2025-03-05 09:19:32 | INTERNAL | Clock: 39 | Internal event
2025-03-05 09:19:32 | INTERNAL | Clock: 40 | Internal event
2025-03-05 09:19:32 | SEND | Clock: 41 | Sent to machine 3
2025-03-05 09:19:32 | INTERNAL | Clock: 42 | Internal event
2025-03-05 09:19:33 | INTERNAL | Clock: 43 | Internal event
2025-03-05 09:19:33 | INTERNAL | Clock: 44 | Internal event
2025-03-05 09:19:33 | INTERNAL | Clock: 45 | Internal event
2025-03-05 09:19:33 | INTERNAL | Clock: 46 | Internal event
2025-03-05 09:19:34 | RECEIVE | Clock: 50 | Message clock: 49, Queue length: 0
2025-03-05 09:19:34 | INTERNAL | Clock: 51 | Internal event
2025-03-05 09:19:34 | INTERNAL | Clock: 52 | Internal event
2025-03-05 09:19:34 | INTERNAL | Clock: 53 | Internal event
2025-03-05 09:19:35 | INTERNAL | Clock: 54 | Internal event
