Machine 1 log started at 2025-03-05 09:19:23.196088
Clock rate: 5 ticks per second
2025-03-05 09:19:25 | RECEIVE | Clock: 3 | Message clock: 2, Queue length: 0
2025-03-05 09:19:25 | RECEIVE | Clock: 6 | Message clock: 5, Queue length: 0
2025-03-05 09:19:25 | RECEIVE | Clock: 7 | Message clock: 6, Queue length: 0
2025-03-05 09:19:25 | INTERNAL | Clock: 8 | Internal event
2025-03-05 09:19:26 | INTERNAL | Clock: 9 | Internal event
2025-03-05 09:19:26 | SEND | Clock: 10 | Sent to machine 2
2025-03-05 09:19:26 | INTERNAL | Clock: 11 | Internal event
2025-03-05 09:19:26 | INTERNAL | Clock: 12 | Internal event
2025-03-05 09:19:26 | INTERNAL | Clock: 13 | Internal event
2025-03-05 09:19:27 | INTERNAL | Clock: 14 | Internal event
2025-03-05 09:19:27 | INTERNAL | Clock: 15 | Internal event
2025-03-05 09:19:27 | INTERNAL | Clock: 16 | Internal event
2025-03-05 09:19:27 | INTERNAL | Clock: 17 | Internal event
2025-03-05 09:19:27 | SEND | Clock: 18 | Sent to machine 2
2025-03-05 09:19:27 | SEND | Clock: 19 | Sent to machine 3
2025-03-05 09:19:28 | INTERNAL | Clock: 20 | Internal event
2025-03-05 09:19:28 | SEND | Clock: 21 | Sent to machine 2
2025-03-05 09:19:28 | SEND | Clock: 22 | Sent to machine 3
2025-03-05 09:19:28 | INTERNAL | Clock: 23 | Internal event
2025-03-05 09:19:28 | INTERNAL | Clock: 24 | Internal event
2025-03-05 09:19:28 | INTERNAL | Clock: 25 | Internal event
2025-03-05 09:19:29 | RECEIVE | Clock: 26 | Message clock: 25, Queue length: 0
2025-03-05 09:19:29 | SEND | Clock: 27 | Sent to machine 3
2025-03-05 09:19:29 | INTERNAL | Clock: 28 | Internal event
2025-03-05 09:19:29 | INTERNAL | Clock: 29 | Internal event
2025-03-05 09:19:29 | INTERNAL | Clock: 30 | Internal event
2025-03-05 09:19:30 | INTERNAL | Clock: 31 | Internal event
2025-03-05 09:19:30 | INTERNAL | Clock: 32 | Internal event
2025-03-05 09:19:30 | INTERNAL | Clock: 33 | Internal event
2025-03-05 09:19:30 | INTERNAL | Clock: 34 | Internal event
2025-03-05 09:19:30 | INTERNAL | Clock: 35 | Internal event
2025-03-05 09:19:31 | RECEIVE | Clock: 36 | Message clock: 34, Queue length: 0
2025-03-05 09:19:31 | INTERNAL | Clock: 37 | Internal event
2025-03-05 09:19:31 | INTERNAL | Clock: 38 | Internal event
2025-03-05 09:19:31 | INTERNAL | Clock: 39 | Internal event
2025-03-05 09:19:31 | RECEIVE | Clock: 40 | Message clock: 38, Queue length: 0
2025-03-05 09:19:32 | INTERNAL | Clock: 41 | Internal event
2025-03-05 09:19:32 | INTERNAL | Clock: 42 | Internal event
2025-03-05 09:19:32 | INTERNAL | Clock: 43 | Internal event
2025-03-05 09:19:32 | INTERNAL | Clock: 44 | Internal event
2025-03-05 09:19:32 | SEND | Clock: 45 | Sent to machine 3
2025-03-05 09:19:33 | INTERNAL | Clock: 46 | Internal event
2025-03-05 09:19:33 | RECEIVE | Clock: 48 | Message clock: 47, Queue length: 0
2025-03-05 09:19:33 | INTERNAL | Clock: 49 | Internal event
2025-03-05 09:19:33 | RECEIVE | Clock: 50 | Message clock: 48, Queue length: 0
2025-03-05 09:19:33 | INTERNAL | Clock: 51 | Internal event
2025-03-05 09:19:34 | INTERNAL | Clock: 52 | Internal event
2025-03-05 09:19:34 | INTERNAL | Clock: 53 | Internal event
2025-03-05 09:19:34 | SEND | Clock: 54 | Sent to machine 3
2025-03-05 09:19:34 | INTERNAL | Clock: 55 | Internal event
2025-03-05 09:19:34 | INTERNAL | Clock: 56 | Internal event
2025-03-05 09:19:35 | INTERNAL | Clock: 57 | Internal event
2025-03-05 09:19:35 | INTERNAL | Clock: 58 | Internal event
2025-03-05 09:19:35 | SEND | Clock: 59 | Sent to machine 2
2025-03-05 09:19:35 | SEND | Clock: 60 | Sent to machine 3
2025-03-05 09:19:35 | INTERNAL | Clock: 61 | Internal event
2025-03-05 09:19:36 | INTERNAL | Clock: 62 | Internal event
2025-03-05 09:19:36 | INTERNAL | Clock: 63 | Internal event
2025-03-05 09:19:36 | INTERNAL | Clock: 64 | Internal event
2025-03-05 09:19:36 | INTERNAL | Clock: 65 | Internal event
2025-03-05 09:19:36 | INTERNAL | Clock: 66 | Internal event
2025-03-05 09:19:37 | SEND | Clock: 67 | Sent to machine 3
2025-03-05 09:19:37 | SEND | Clock: 68 | Sent to machine 2
2025-03-05 09:19:37 | RECEIVE | Clock: 70 | Message clock: 69, Queue length: 0
2025-03-05 09:19:37 | INTERNAL | Clock: 71 | Internal event
2025-03-05 09:19:37 | SEND | Clock: 72 | Sent to machine 2
2025-03-05 09:19:38 | SEND | Clock: 73 | Sent to machine 2
2025-03-05 09:19:38 | SEND | Clock: 74 | Sent to machine 3
2025-03-05 09:19:38 | INTERNAL | Clock: 75 | Internal event
2025-03-05 09:19:38 | RECEIVE | Clock: 77 | Message clock: 76, Queue length: 0
2025-03-05 09:19:38 | INTERNAL | Clock: 78 | Internal event
2025-03-05 09:19:38 | RECEIVE | Clock: 79 | Message clock: 76, Queue length: 0
2025-03-05 09:19:39 | SEND | Clock: 80 | Sent to machine 2
2025-03-05 09:19:39 | SEND | Clock: 81 | Sent to machine 3
2025-03-05 09:19:39 | INTERNAL | Clock: 82 | Internal event
2025-03-05 09:19:39 | RECEIVE | Clock: 83 | Message clock: 82, Queue length: 0
2025-03-05 09:19:39 | INTERNAL | Clock: 84 | Internal event
2025-03-05 09:19:39 | RECEIVE | Clock: 85 | Message clock: 83, Queue length: 0
2025-03-05 09:19:40 | INTERNAL | Clock: 86 | Internal event
2025-03-05 09:19:40 | INTERNAL | Clock: 87 | Internal event
2025-03-05 09:19:40 | SEND | Clock: 88 | Sent to machine 3
2025-03-05 09:19:40 | SEND | Clock: 89 | Sent to machine 2
2025-03-05 09:19:40 | SEND | Clock: 90 | Sent to machine 2
2025-03-05 09:19:41 | INTERNAL | Clock: 91 | Internal event
2025-03-05 09:19:41 | INTERNAL | Clock: 92 | Internal event
2025-03-05 09:19:41 | RECEIVE | Clock: 94 | Message clock: 93, Queue length: 0
2025-03-05 09:19:41 | INTERNAL | Clock: 95 | Internal event
2025-03-05 09:19:41 | SEND | Clock: 96 | Sent to machine 3
2025-03-05 09:19:42 | RECEIVE | Clock: 97 | Message clock: 96, Queue length: 0
2025-03-05 09:19:42 | INTERNAL | Clock: 98 | Internal event
2025-03-05 09:19:42 | SEND | Clock: 99 | Sent to machine 3
2025-03-05 09:19:42 | INTERNAL | Clock: 100 | Internal event
2025-03-05 09:19:42 | RECEIVE | Clock: 101 | Message clock: 100, Queue length: 0
2025-03-05 09:19:43 | INTERNAL | Clock: 102 | Internal event
2025-03-05 09:19:43 | INTERNAL | Clock: 103 | Internal event
2025-03-05 09:19:43 | INTERNAL | Clock: 104 | Internal event
2025-03-05 09:19:43 | SEND | Clock: 105 | Sent to machine 3
2025-03-05 09:19:43 | INTERNAL | Clock: 106 | Internal event
2025-03-05 09:19:44 | INTERNAL | Clock: 107 | Internal event
2025-03-05 09:19:44 | INTERNAL | Clock: 108 | Internal event
2025-03-05 09:19:44 | INTERNAL | Clock: 109 | Internal event
2025-03-05 09:19:44 | INTERNAL | Clock: 110 | Internal event
2025-03-05 09:19:44 | INTERNAL | Clock: 111 | Internal event
2025-03-05 09:19:45 | SEND | Clock: 112 | Sent to machine 2
2025-03-05 09:19:45 | INTERNAL | Clock: 113 | Internal event
2025-03-05 09:19:45 | INTERNAL | Clock: 114 | Internal event
2025-03-05 09:19:45 | SEND | Clock: 115 | Sent to machine 3
2025-03-05 09:19:46 | INTERNAL | Clock: 116 | Internal event
2025-03-05 09:19:46 | INTERNAL | Clock: 117 | Internal event
2025-03-05 09:19:46 | INTERNAL | Clock: 118 | Internal event
2025-03-05 09:19:46 | SEND | Clock: 119 | Sent to machine 3
2025-03-05 09:19:46 | INTERNAL | Clock: 120 | Internal event
2025-03-05 09:19:47 | RECEIVE | Clock: 121 | Message clock: 118, Queue length: 0
2025-03-05 09:19:47 | SEND | Clock: 122 | Sent to machine 2
2025-03-05 09:19:47 | SEND | Clock: 123 | Sent to machine 3
2025-03-05 09:19:47 | INTERNAL | Clock: 124 | Internal event
2025-03-05 09:19:47 | INTERNAL | Clock: 125 | Internal event
2025-03-05 09:19:47 | INTERNAL | Clock: 126 | Internal event
2025-03-05 09:19:48 | SEND | Clock: 127 | Sent to machine 3
2025-03-05 09:19:48 | INTERNAL | Clock: 128 | Internal event
2025-03-05 09:19:48 | INTERNAL | Clock: 129 | Internal event
2025-03-05 09:19:48 | SEND | Clock: 130 | Sent to machine 2
2025-03-05 09:19:48 | INTERNAL | Clock: 131 | Internal event
2025-03-05 09:19:49 | INTERNAL | Clock: 132 | Internal event
2025-03-05 09:19:49 | RECEIVE | Clock: 133 | Message clock: 132, Queue length: 0
2025-03-05 09:19:49 | INTERNAL | Clock: 134 | Internal event
2025-03-05 09:19:49 | INTERNAL | Clock: 135 | Internal event
2025-03-05 09:19:49 | RECEIVE | Clock: 136 | Message clock: 133, Queue length: 0
2025-03-05 09:19:50 | INTERNAL | Clock: 137 | Internal event
2025-03-05 09:19:50 | SEND | Clock: 138 | Sent to machine 2
2025-03-05 09:19:50 | SEND | Clock: 139 | Sent to machine 3
2025-03-05 09:19:50 | SEND | Clock: 140 | Sent to machine 2
2025-03-05 09:19:50 | SEND | Clock: 141 | Sent to machine 3
2025-03-05 09:19:50 | INTERNAL | Clock: 142 | Internal event
2025-03-05 09:19:50 | INTERNAL | Clock: 143 | Internal event
2025-03-05 09:19:51 | INTERNAL | Clock: 144 | Internal event
2025-03-05 09:19:51 | RECEIVE | Clock: 145 | Message clock: 143, Queue length: 0
2025-03-05 09:19:51 | INTERNAL | Clock: 146 | Internal event
2025-03-05 09:19:51 | RECEIVE | Clock: 147 | Message clock: 146, Queue length: 0
2025-03-05 09:19:51 | INTERNAL | Clock: 148 | Internal event
2025-03-05 09:19:52 | SEND | Clock: 149 | Sent to machine 2
2025-03-05 09:19:52 | SEND | Clock: 150 | Sent to machine 3
2025-03-05 09:19:52 | INTERNAL | Clock: 151 | Internal event
2025-03-05 09:19:52 | INTERNAL | Clock: 152 | Internal event
2025-03-05 09:19:52 | INTERNAL | Clock: 153 | Internal event
2025-03-05 09:19:52 | RECEIVE | Clock: 154 | Message clock: 153, Queue length: 0
2025-03-05 09:19:53 | SEND | Clock: 155 | Sent to machine 2
2025-03-05 09:19:53 | SEND | Clock: 156 | Sent to machine 3
2025-03-05 09:19:53 | INTERNAL | Clock: 157 | Internal event
2025-03-05 09:19:53 | RECEIVE | Clock: 158 | Message clock: 157, Queue length: 0
2025-03-05 09:19:53 | SEND | Clock: 159 | Sent to machine 2
2025-03-05 09:19:53 | SEND | Clock: 160 | Sent to machine 3
2025-03-05 09:19:53 | INTERNAL | Clock: 161 | Internal event
2025-03-05 09:19:54 | INTERNAL | Clock: 162 | Internal event
2025-03-05 09:19:54 | INTERNAL | Clock: 163 | Internal event
2025-03-05 09:19:54 | SEND | Clock: 164 | Sent to machine 2
2025-03-05 09:19:54 | SEND | Clock: 165 | Sent to machine 3
2025-03-05 09:19:54 | INTERNAL | Clock: 166 | Internal event
2025-03-05 09:19:54 | SEND | Clock: 167 | Sent to machine 3
2025-03-05 09:19:55 | INTERNAL | Clock: 168 | Internal event
2025-03-05 09:19:55 | RECEIVE | Clock: 169 | Message clock: 167, Queue length: 0
2025-03-05 09:19:55 | SEND | Clock: 170 | Sent to machine 2
2025-03-05 09:19:55 | INTERNAL | Clock: 171 | Internal event
2025-03-05 09:19:55 | RECEIVE | Clock: 172 | Message clock: 170, Queue length: 0
2025-03-05 09:19:56 | INTERNAL | Clock: 173 | Internal event
2025-03-05 09:19:56 | RECEIVE | Clock: 174 | Message clock: 173, Queue length: 0
2025-03-05 09:19:56 | INTERNAL | Clock: 175 | Internal event
2025-03-05 09:19:56 | INTERNAL | Clock: 176 | Internal event
2025-03-05 09:19:56 | INTERNAL | Clock: 177 | Internal event
2025-03-05 09:19:57 | INTERNAL | Clock: 178 | Internal event
2025-03-05 09:19:57 | RECEIVE | Clock: 179 | Message clock: 178, Queue length: 0
2025-03-05 09:19:57 | INTERNAL | Clock: 180 | Internal event
2025-03-05 09:19:57 | RECEIVE | Clock: 181 | Message clock: 180, Queue length: 0
2025-03-05 09:19:58 | SEND | Clock: 182 | Sent to machine 2
2025-03-05 09:19:58 | SEND | Clock: 183 | Sent to machine 3
2025-03-05 09:19:58 | INTERNAL | Clock: 184 | Internal event
2025-03-05 09:19:58 | INTERNAL | Clock: 185 | Internal event
2025-03-05 09:19:58 | RECEIVE | Clock: 186 | Message clock: 185, Queue length: 0
2025-03-05 09:19:58 | INTERNAL | Clock: 187 | Internal event
2025-03-05 09:19:59 | INTERNAL | Clock: 188 | Internal event
2025-03-05 09:19:59 | INTERNAL | Clock: 189 | Internal event
2025-03-05 09:19:59 | INTERNAL | Clock: 190 | Internal event
2025-03-05 09:19:59 | RECEIVE | Clock: 191 | Message clock: 188, Queue length: 0
2025-03-05 09:19:59 | INTERNAL | Clock: 192 | Internal event
2025-03-05 09:20:00 | RECEIVE | Clock: 193 | Message clock: 190, Queue length: 0
2025-03-05 09:20:00 | INTERNAL | Clock: 194 | Internal event
2025-03-05 09:20:00 | SEND | Clock: 195 | Sent to machine 3
2025-03-05 09:20:00 | SEND | Clock: 196 | Sent to machine 3
2025-03-05 09:20:00 | INTERNAL | Clock: 197 | Internal event
2025-03-05 09:20:01 | INTERNAL | Clock: 198 | Internal event
2025-03-05 09:20:01 | INTERNAL | Clock: 199 | Internal event
2025-03-05 09:20:01 | INTERNAL | Clock: 200 | Internal event
2025-03-05 09:20:01 | SEND | Clock: 201 | Sent to machine 2
2025-03-05 09:20:01 | SEND | Clock: 202 | Sent to machine 3
2025-03-05 09:20:01 | SEND | Clock: 203 | Sent to machine 2
2025-03-05 09:20:01 | SEND | Clock: 204 | Sent to machine 3
2025-03-05 09:20:02 | INTERNAL | Clock: 205 | Internal event
2025-03-05 09:20:02 | SEND | Clock: 206 | Sent to machine 2
2025-03-05 09:20:02 | INTERNAL | Clock: 207 | Internal event
2025-03-05 09:20:02 | SEND | Clock: 208 | Sent to machine 2
2025-03-05 09:20:02 | SEND | Clock: 209 | Sent to machine 3
2025-03-05 09:20:02 | INTERNAL | Clock: 210 | Internal event
2025-03-05 09:20:03 | INTERNAL | Clock: 211 | Internal event
2025-03-05 09:20:03 | INTERNAL | Clock: 212 | Internal event
2025-03-05 09:20:03 | SEND | Clock: 213 | Sent to machine 2
2025-03-05 09:20:03 | INTERNAL | Clock: 214 | Internal event
2025-03-05 09:20:03 | SEND | Clock: 215 | Sent to machine 3
2025-03-05 09:20:04 | SEND | Clock: 216 | Sent to machine 2
2025-03-05 09:20:04 | SEND | Clock: 217 | Sent to machine 2
2025-03-05 09:20:04 | SEND | Clock: 218 | Sent to machine 3
2025-03-05 09:20:04 | INTERNAL | Clock: 219 | Internal event
2025-03-05 09:20:04 | INTERNAL | Clock: 220 | Internal event
2025-03-05 09:20:04 | RECEIVE | Clock: 221 | Message clock: 219, Queue length: 0
2025-03-05 09:20:05 | INTERNAL | Clock: 222 | Internal event
2025-03-05 09:20:05 | INTERNAL | Clock: 223 | Internal event
2025-03-05 09:20:05 | RECEIVE | Clock: 224 | Message clock: 222, Queue length: 0
2025-03-05 09:20:05 | INTERNAL | Clock: 225 | Internal event
2025-03-05 09:20:05 | SEND | Clock: 226 | Sent to machine 3
2025-03-05 09:20:06 | INTERNAL | Clock: 227 | Internal event
