Machine 3 log started at 2025-03-05 09:19:24.219668
Clock rate: 3 ticks per second
2025-03-05 09:19:24 | SEND | Clock: 1 | Sent to machine 2
2025-03-05 09:19:24 | SEND | Clock: 2 | Sent to machine 1
2025-03-05 09:19:24 | SEND | Clock: 3 | Sent to machine 2
2025-03-05 09:19:24 | INTERNAL | Clock: 4 | Internal event
2025-03-05 09:19:25 | SEND | Clock: 5 | Sent to machine 1
2025-03-05 09:19:25 | SEND | Clock: 6 | Sent to machine 1
2025-03-05 09:19:25 | INTERNAL | Clock: 7 | Internal event
2025-03-05 09:19:26 | RECEIVE | Clock: 9 | Message clock: 8, Queue length: 0
2025-03-05 09:19:26 | INTERNAL | Clock: 10 | Internal event
2025-03-05 09:19:26 | INTERNAL | Clock: 11 | Internal event
2025-03-05 09:19:27 | INTERNAL | Clock: 12 | Internal event
2025-03-05 09:19:27 | RECEIVE | Clock: 16 | Message clock: 15, Queue length: 0
2025-03-05 09:19:27 | RECEIVE | Clock: 20 | Message clock: 19, Queue length: 0
2025-03-05 09:19:28 | RECEIVE | Clock: 23 | Message clock: 22, Queue length: 0
2025-03-05 09:19:28 | RECEIVE | Clock: 24 | Message clock: 23, Queue length: 0
2025-03-05 09:19:28 | INTERNAL | Clock: 25 | Internal event
2025-03-05 09:19:29 | SEND | Clock: 26 | Sent to machine 2
2025-03-05 09:19:29 | RECEIVE | Clock: 28 | Message clock: 27, Queue length: 0
2025-03-05 09:19:29 | INTERNAL | Clock: 29 | Internal event
2025-03-05 09:19:30 | INTERNAL | Clock: 30 | Internal event
2025-03-05 09:19:30 | SEND | Clock: 31 | Sent to machine 2
2025-03-05 09:19:30 | INTERNAL | Clock: 32 | Internal event
2025-03-05 09:19:31 | RECEIVE | Clock: 36 | Message clock: 35, Queue length: 0
2025-03-05 09:19:31 | INTERNAL | Clock: 37 | Internal event
2025-03-05 09:19:31 | INTERNAL | Clock: 38 | Internal event
2025-03-05 09:19:32 | INTERNAL | Clock: 39 | Internal event
2025-03-05 09:19:32 | RECEIVE | Clock: 42 | Message clock: 41, Queue length: 0
2025-03-05 09:19:32 | RECEIVE | Clock: 46 | Message clock: 45, Queue length: 0
2025-03-05 09:19:33 | SEND | Clock: 47 | Sent to machine 1
2025-03-05 09:19:33 | SEND | Clock: 48 | Sent to machine 1
2025-03-05 09:19:34 | SEND | Clock: 49 | Sent to machine 2
2025-03-05 09:19:34 | INTERNAL | Clock: 50 | Internal event
2025-03-05 09:19:34 | RECEIVE | Clock: 55 | Message clock: 54, Queue length: 0
2025-03-05 09:19:35 | INTERNAL | Clock: 56 | Internal event
2025-03-05 09:19:35 | INTERNAL | Clock: 57 | Internal event
2025-03-05 09:19:35 | RECEIVE | Clock: 61 | Message clock: 60, Queue length: 0
2025-03-05 09:19:36 | SEND | Clock: 62 | Sent to machine 2
2025-03-05 09:19:36 | INTERNAL | Clock: 63 | Internal event
2025-03-05 09:19:36 | INTERNAL | Clock: 64 | Internal event
2025-03-05 09:19:37 | RECEIVE | Clock: 68 | Message clock: 67, Queue length: 0
2025-03-05 09:19:37 | SEND | Clock: 69 | Sent to machine 1
2025-03-05 09:19:37 | INTERNAL | Clock: 70 | Internal event
2025-03-05 09:19:38 | RECEIVE | Clock: 75 | Message clock: 74, Queue length: 0
2025-03-05 09:19:38 | SEND | Clock: 76 | Sent to machine 1
2025-03-05 09:19:38 | RECEIVE | Clock: 78 | Message clock: 77, Queue length: 0
2025-03-05 09:19:39 | RECEIVE | Clock: 82 | Message clock: 81, Queue length: 0
2025-03-05 09:19:39 | INTERNAL | Clock: 83 | Internal event
2025-03-05 09:19:39 | SEND | Clock: 84 | Sent to machine 2
2025-03-05 09:19:40 | INTERNAL | Clock: 85 | Internal event
2025-03-05 09:19:40 | SEND | Clock: 86 | Sent to machine 2
2025-03-05 09:19:40 | RECEIVE | Clock: 89 | Message clock: 88, Queue length: 0
2025-03-05 09:19:41 | INTERNAL | Clock: 90 | Internal event
2025-03-05 09:19:41 | INTERNAL | Clock: 91 | Internal event
2025-03-05 09:19:41 | RECEIVE | Clock: 95 | Message clock: 94, Queue length: 0
2025-03-05 09:19:42 | RECEIVE | Clock: 97 | Message clock: 96, Queue length: 1
2025-03-05 09:19:42 | RECEIVE | Clock: 98 | Message clock: 97, Queue length: 1
2025-03-05 09:19:42 | RECEIVE | Clock: 99 | Message clock: 98, Queue length: 2
2025-03-05 09:19:43 | RECEIVE | Clock: 100 | Message clock: 99, Queue length: 1
2025-03-05 09:19:43 | RECEIVE | Clock: 102 | Message clock: 101, Queue length: 0
2025-03-05 09:19:43 | RECEIVE | Clock: 106 | Message clock: 105, Queue length: 0
2025-03-05 09:19:44 | INTERNAL | Clock: 107 | Internal event
2025-03-05 09:19:44 | INTERNAL | Clock: 108 | Internal event
2025-03-05 09:19:44 | INTERNAL | Clock: 109 | Internal event
2025-03-05 09:19:45 | SEND | Clock: 110 | Sent to machine 2
2025-03-05 09:19:45 | SEND | Clock: 111 | Sent to machine 2
2025-03-05 09:19:45 | RECEIVE | Clock: 116 | Message clock: 115, Queue length: 0
2025-03-05 09:19:46 | RECEIVE | Clock: 117 | Message clock: 115, Queue length: 0
2025-03-05 09:19:46 | INTERNAL | Clock: 118 | Internal event
2025-03-05 09:19:46 | RECEIVE | Clock: 119 | Message clock: 117, Queue length: 1
2025-03-05 09:19:47 | RECEIVE | Clock: 120 | Message clock: 119, Queue length: 0
2025-03-05 09:19:47 | RECEIVE | Clock: 124 | Message clock: 123, Queue length: 0
2025-03-05 09:19:47 | INTERNAL | Clock: 125 | Internal event
2025-03-05 09:19:48 | RECEIVE | Clock: 128 | Message clock: 127, Queue length: 0
2025-03-05 09:19:48 | INTERNAL | Clock: 129 | Internal event
2025-03-05 09:19:48 | RECEIVE | Clock: 130 | Message clock: 128, Queue length: 0
2025-03-05 09:19:49 | SEND | Clock: 131 | Sent to machine 2
2025-03-05 09:19:49 | INTERNAL | Clock: 132 | Internal event
2025-03-05 09:19:49 | SEND | Clock: 133 | Sent to machine 1
2025-03-05 09:19:49 | SEND | Clock: 134 | Sent to machine 2
2025-03-05 09:19:50 | INTERNAL | Clock: 135 | Internal event
2025-03-05 09:19:50 | RECEIVE | Clock: 140 | Message clock: 139, Queue length: 1
2025-03-05 09:19:50 | RECEIVE | Clock: 142 | Message clock: 141, Queue length: 0
2025-03-05 09:19:51 | SEND | Clock: 143 | Sent to machine 1
2025-03-05 09:19:51 | SEND | Clock: 144 | Sent to machine 2
2025-03-05 09:19:51 | INTERNAL | Clock: 145 | Internal event
2025-03-05 09:19:51 | RECEIVE | Clock: 148 | Message clock: 147, Queue length: 0
2025-03-05 09:19:52 | RECEIVE | Clock: 151 | Message clock: 150, Queue length: 0
2025-03-05 09:19:52 | INTERNAL | Clock: 152 | Internal event
2025-03-05 09:19:52 | SEND | Clock: 153 | Sent to machine 1
