Machine 1 log started at 2025-03-05 19:42:31.430588
Clock rate: 5 ticks per second
2025-03-05 19:42:33 | RECEIVE | Clock: 7 | Message clock: 6, Queue length: 0
2025-03-05 19:42:33 | SEND | Clock: 8 | Sent to machine 2
2025-03-05 19:42:33 | RECEIVE | Clock: 12 | Message clock: 11, Queue length: 0
2025-03-05 19:42:34 | RECEIVE | Clock: 14 | Message clock: 13, Queue length: 0
2025-03-05 19:42:34 | INTERNAL | Clock: 15 | Internal event
2025-03-05 19:42:34 | SEND | Clock: 16 | Sent to machine 3
2025-03-05 19:42:34 | SEND | Clock: 17 | Sent to machine 2
2025-03-05 19:42:34 | SEND | Clock: 18 | Sent to machine 3
2025-03-05 19:42:34 | RECEIVE | Clock: 19 | Message clock: 17, Queue length: 0
2025-03-05 19:42:35 | SEND | Clock: 20 | Sent to machine 2
2025-03-05 19:42:35 | SEND | Clock: 21 | Sent to machine 2
2025-03-05 19:42:35 | SEND | Clock: 22 | Sent to machine 2
2025-03-05 19:42:35 | SEND | Clock: 23 | Sent to machine 3
2025-03-05 19:42:35 | INTERNAL | Clock: 24 | Internal event
2025-03-05 19:42:35 | RECEIVE | Clock: 26 | Message clock: 25, Queue length: 1
2025-03-05 19:42:36 | RECEIVE | Clock: 27 | Message clock: 26, Queue length: 1
2025-03-05 19:42:36 | RECEIVE | Clock: 29 | Message clock: 28, Queue length: 1
2025-03-05 19:42:36 | RECEIVE | Clock: 31 | Message clock: 30, Queue length: 1
2025-03-05 19:42:36 | RECEIVE | Clock: 33 | Message clock: 32, Queue length: 0
2025-03-05 19:42:36 | RECEIVE | Clock: 34 | Message clock: 33, Queue length: 0
2025-03-05 19:42:37 | RECEIVE | Clock: 38 | Message clock: 37, Queue length: 0
2025-03-05 19:42:37 | RECEIVE | Clock: 40 | Message clock: 39, Queue length: 0
2025-03-05 19:42:37 | SEND | Clock: 41 | Sent to machine 2
2025-03-05 19:42:37 | SEND | Clock: 42 | Sent to machine 3
2025-03-05 19:42:37 | INTERNAL | Clock: 43 | Internal event
2025-03-05 19:42:37 | INTERNAL | Clock: 44 | Internal event
2025-03-05 19:42:38 | INTERNAL | Clock: 45 | Internal event
2025-03-05 19:42:38 | SEND | Clock: 46 | Sent to machine 2
2025-03-05 19:42:38 | RECEIVE | Clock: 49 | Message clock: 48, Queue length: 0
2025-03-05 19:42:38 | INTERNAL | Clock: 50 | Internal event
2025-03-05 19:42:38 | SEND | Clock: 51 | Sent to machine 2
2025-03-05 19:42:38 | SEND | Clock: 52 | Sent to machine 3
2025-03-05 19:42:39 | SEND | Clock: 53 | Sent to machine 3
2025-03-05 19:42:39 | INTERNAL | Clock: 54 | Internal event
2025-03-05 19:42:39 | INTERNAL | Clock: 55 | Internal event
2025-03-05 19:42:39 | SEND | Clock: 56 | Sent to machine 3
2025-03-05 19:42:39 | SEND | Clock: 57 | Sent to machine 3
2025-03-05 19:42:40 | INTERNAL | Clock: 58 | Internal event
2025-03-05 19:42:40 | INTERNAL | Clock: 59 | Internal event
2025-03-05 19:42:40 | RECEIVE | Clock: 62 | Message clock: 61, Queue length: 0
2025-03-05 19:42:40 | RECEIVE | Clock: 65 | Message clock: 64, Queue length: 1
2025-03-05 19:42:40 | RECEIVE | Clock: 66 | Message clock: 63, Queue length: 1
2025-03-05 19:42:41 | RECEIVE | Clock: 67 | Message clock: 66, Queue length: 0
2025-03-05 19:42:41 | SEND | Clock: 68 | Sent to machine 2
2025-03-05 19:42:41 | RECEIVE | Clock: 70 | Message clock: 69, Queue length: 0
2025-03-05 19:42:41 | INTERNAL | Clock: 71 | Internal event
2025-03-05 19:42:41 | INTERNAL | Clock: 72 | Internal event
2025-03-05 19:42:42 | RECEIVE | Clock: 75 | Message clock: 74, Queue length: 0
2025-03-05 19:42:42 | INTERNAL | Clock: 76 | Internal event
2025-03-05 19:42:42 | INTERNAL | Clock: 77 | Internal event
2025-03-05 19:42:42 | RECEIVE | Clock: 78 | Message clock: 77, Queue length: 0
2025-03-05 19:42:43 | INTERNAL | Clock: 79 | Internal event
2025-03-05 19:42:43 | SEND | Clock: 80 | Sent to machine 2
2025-03-05 19:42:43 | SEND | Clock: 81 | Sent to machine 3
2025-03-05 19:42:43 | INTERNAL | Clock: 82 | Internal event
