Machine 2 log started at 2025-03-05 19:42:31.954780
Clock rate: 6 ticks per second
2025-03-05 19:42:46 | INTERNAL | Clock: 100 | Internal event
2025-03-05 19:42:46 | SEND | Clock: 101 | Sent to machine 3
2025-03-05 19:42:46 | INTERNAL | Clock: 102 | Internal event
2025-03-05 19:42:46 | RECEIVE | Clock: 103 | Message clock: 102, Queue length: 0
2025-03-05 19:42:46 | RECEIVE | Clock: 106 | Message clock: 105, Queue length: 0
2025-03-05 19:42:46 | INTERNAL | Clock: 107 | Internal event
2025-03-05 19:42:47 | INTERNAL | Clock: 108 | Internal event
2025-03-05 19:42:47 | RECEIVE | Clock: 110 | Message clock: 109, Queue length: 0
2025-03-05 19:42:47 | RECEIVE | Clock: 111 | Message clock: 108, Queue length: 0
2025-03-05 19:42:47 | INTERNAL | Clock: 112 | Internal event
2025-03-05 19:42:47 | RECEIVE | Clock: 113 | Message clock: 111, Queue length: 0
2025-03-05 19:42:47 | INTERNAL | Clock: 114 | Internal event
2025-03-05 19:42:48 | INTERNAL | Clock: 115 | Internal event
2025-03-05 19:42:48 | RECEIVE | Clock: 117 | Message clock: 116, Queue length: 0
2025-03-05 19:42:48 | SEND | Clock: 118 | Sent to machine 1
2025-03-05 19:42:48 | SEND | Clock: 119 | Sent to machine 1
2025-03-05 19:42:48 | INTERNAL | Clock: 120 | Internal event
2025-03-05 19:42:48 | RECEIVE | Clock: 121 | Message clock: 120, Queue length: 0
2025-03-05 19:42:49 | RECEIVE | Clock: 123 | Message clock: 122, Queue length: 0
2025-03-05 19:42:49 | INTERNAL | Clock: 124 | Internal event
2025-03-05 19:42:49 | INTERNAL | Clock: 125 | Internal event
2025-03-05 19:42:49 | SEND | Clock: 126 | Sent to machine 1
2025-03-05 19:42:49 | RECEIVE | Clock: 128 | Message clock: 127, Queue length: 0
2025-03-05 19:42:50 | INTERNAL | Clock: 129 | Internal event
2025-03-05 19:42:50 | RECEIVE | Clock: 130 | Message clock: 129, Queue length: 0
2025-03-05 19:42:50 | INTERNAL | Clock: 131 | Internal event
2025-03-05 19:42:50 | INTERNAL | Clock: 132 | Internal event
2025-03-05 19:42:50 | RECEIVE | Clock: 133 | Message clock: 132, Queue length: 0
2025-03-05 19:42:50 | RECEIVE | Clock: 135 | Message clock: 134, Queue length: 0
2025-03-05 19:42:51 | INTERNAL | Clock: 136 | Internal event
2025-03-05 19:42:51 | INTERNAL | Clock: 137 | Internal event
2025-03-05 19:42:51 | RECEIVE | Clock: 139 | Message clock: 138, Queue length: 0
2025-03-05 19:42:51 | INTERNAL | Clock: 140 | Internal event
2025-03-05 19:42:51 | RECEIVE | Clock: 142 | Message clock: 141, Queue length: 0
2025-03-05 19:42:51 | INTERNAL | Clock: 143 | Internal event
2025-03-05 19:42:52 | SEND | Clock: 144 | Sent to machine 1
2025-03-05 19:42:52 | INTERNAL | Clock: 145 | Internal event
2025-03-05 19:42:52 | SEND | Clock: 146 | Sent to machine 1
2025-03-05 19:42:52 | SEND | Clock: 147 | Sent to machine 3
2025-03-05 19:42:52 | INTERNAL | Clock: 148 | Internal event
2025-03-05 19:42:52 | INTERNAL | Clock: 149 | Internal event
2025-03-05 19:42:52 | RECEIVE | Clock: 150 | Message clock: 148, Queue length: 0
2025-03-05 19:42:53 | INTERNAL | Clock: 151 | Internal event
2025-03-05 19:42:53 | INTERNAL | Clock: 152 | Internal event
2025-03-05 19:42:53 | RECEIVE | Clock: 155 | Message clock: 154, Queue length: 0
2025-03-05 19:42:53 | RECEIVE | Clock: 157 | Message clock: 156, Queue length: 0
2025-03-05 19:42:53 | INTERNAL | Clock: 158 | Internal event
2025-03-05 19:42:53 | INTERNAL | Clock: 159 | Internal event
2025-03-05 19:42:54 | INTERNAL | Clock: 160 | Internal event
2025-03-05 19:42:54 | SEND | Clock: 161 | Sent to machine 1
2025-03-05 19:42:54 | RECEIVE | Clock: 164 | Message clock: 163, Queue length: 0
2025-03-05 19:42:54 | RECEIVE | Clock: 166 | Message clock: 165, Queue length: 0
2025-03-05 19:42:54 | INTERNAL | Clock: 167 | Internal event
2025-03-05 19:42:54 | INTERNAL | Clock: 168 | Internal event
2025-03-05 19:42:55 | INTERNAL | Clock: 169 | Internal event
2025-03-05 19:42:55 | INTERNAL | Clock: 170 | Internal event
2025-03-05 19:42:55 | RECEIVE | Clock: 171 | Message clock: 170, Queue length: 0
2025-03-05 19:42:55 | INTERNAL | Clock: 172 | Internal event
2025-03-05 19:42:55 | INTERNAL | Clock: 173 | Internal event
2025-03-05 19:42:55 | RECEIVE | Clock: 176 | Message clock: 175, Queue length: 0
2025-03-05 19:42:56 | INTERNAL | Clock: 177 | Internal event
2025-03-05 19:42:56 | RECEIVE | Clock: 179 | Message clock: 178, Queue length: 0
2025-03-05 19:42:56 | INTERNAL | Clock: 180 | Internal event
2025-03-05 19:42:56 | INTERNAL | Clock: 181 | Internal event
2025-03-05 19:42:56 | INTERNAL | Clock: 182 | Internal event
2025-03-05 19:42:57 | RECEIVE | Clock: 183 | Message clock: 182, Queue length: 0
2025-03-05 19:42:57 | INTERNAL | Clock: 184 | Internal event
2025-03-05 19:42:57 | SEND | Clock: 185 | Sent to machine 1
2025-03-05 19:42:57 | INTERNAL | Clock: 186 | Internal event
2025-03-05 19:42:57 | INTERNAL | Clock: 187 | Internal event
2025-03-05 19:42:57 | INTERNAL | Clock: 188 | Internal event
2025-03-05 19:42:58 | SEND | Clock: 189 | Sent to machine 1
2025-03-05 19:42:58 | SEND | Clock: 190 | Sent to machine 3
