Machine 2 log started at 2025-03-05 09:15:12.180507
Clock rate: 5 ticks per second
2025-03-05 09:15:13 | RECEIVE | Clock: 5 | Message clock: 4, Queue length: 1
2025-03-05 09:15:13 | RECEIVE | Clock: 7 | Message clock: 6, Queue length: 0
2025-03-05 09:15:13 | SEND | Clock: 8 | Sent to machine 3
2025-03-05 09:15:13 | INTERNAL | Clock: 9 | Internal event
2025-03-05 09:15:14 | INTERNAL | Clock: 10 | Internal event
2025-03-05 09:15:14 | INTERNAL | Clock: 11 | Internal event
2025-03-05 09:15:14 | RECEIVE | Clock: 14 | Message clock: 13, Queue length: 0
2025-03-05 09:15:14 | INTERNAL | Clock: 15 | Internal event
2025-03-05 09:15:14 | INTERNAL | Clock: 16 | Internal event
2025-03-05 09:15:15 | INTERNAL | Clock: 17 | Internal event
2025-03-05 09:15:15 | INTERNAL | Clock: 18 | Internal event
2025-03-05 09:15:15 | RECEIVE | Clock: 22 | Message clock: 21, Queue length: 0
2025-03-05 09:15:15 | INTERNAL | Clock: 23 | Internal event
2025-03-05 09:15:15 | INTERNAL | Clock: 24 | Internal event
2025-03-05 09:15:16 | INTERNAL | Clock: 25 | Internal event
2025-03-05 09:15:16 | RECEIVE | Clock: 27 | Message clock: 26, Queue length: 0
2025-03-05 09:15:16 | INTERNAL | Clock: 28 | Internal event
2025-03-05 09:15:16 | INTERNAL | Clock: 29 | Internal event
2025-03-05 09:15:16 | INTERNAL | Clock: 30 | Internal event
2025-03-05 09:15:17 | INTERNAL | Clock: 31 | Internal event
2025-03-05 09:15:17 | INTERNAL | Clock: 32 | Internal event
2025-03-05 09:15:17 | INTERNAL | Clock: 33 | Internal event
2025-03-05 09:15:17 | RECEIVE | Clock: 34 | Message clock: 31, Queue length: 0
2025-03-05 09:15:17 | RECEIVE | Clock: 37 | Message clock: 36, Queue length: 0
2025-03-05 09:15:18 | INTERNAL | Clock: 38 | Internal event
2025-03-05 09:15:18 | INTERNAL | Clock: 39 | Internal event
2025-03-05 09:15:18 | INTERNAL | Clock: 40 | Internal event
2025-03-05 09:15:18 | INTERNAL | Clock: 41 | Internal event
2025-03-05 09:15:18 | RECEIVE | Clock: 42 | Message clock: 36, Queue length: 0
2025-03-05 09:15:19 | INTERNAL | Clock: 43 | Internal event
2025-03-05 09:15:19 | INTERNAL | Clock: 44 | Internal event
2025-03-05 09:15:19 | RECEIVE | Clock: 45 | Message clock: 38, Queue length: 0
2025-03-05 09:15:19 | RECEIVE | Clock: 46 | Message clock: 39, Queue length: 0
2025-03-05 09:15:19 | INTERNAL | Clock: 47 | Internal event
2025-03-05 09:15:20 | INTERNAL | Clock: 48 | Internal event
2025-03-05 09:15:20 | INTERNAL | Clock: 49 | Internal event
2025-03-05 09:15:20 | INTERNAL | Clock: 50 | Internal event
2025-03-05 09:15:20 | RECEIVE | Clock: 51 | Message clock: 43, Queue length: 0
2025-03-05 09:15:20 | INTERNAL | Clock: 52 | Internal event
2025-03-05 09:15:21 | INTERNAL | Clock: 53 | Internal event
2025-03-05 09:15:21 | INTERNAL | Clock: 54 | Internal event
2025-03-05 09:15:21 | SEND | Clock: 55 | Sent to machine 1
2025-03-05 09:15:21 | RECEIVE | Clock: 61 | Message clock: 60, Queue length: 0
2025-03-05 09:15:21 | INTERNAL | Clock: 62 | Internal event
2025-03-05 09:15:22 | INTERNAL | Clock: 63 | Internal event
2025-03-05 09:15:22 | INTERNAL | Clock: 64 | Internal event
2025-03-05 09:15:22 | SEND | Clock: 65 | Sent to machine 1
2025-03-05 09:15:22 | RECEIVE | Clock: 68 | Message clock: 67, Queue length: 0
2025-03-05 09:15:22 | RECEIVE | Clock: 70 | Message clock: 69, Queue length: 0
2025-03-05 09:15:23 | SEND | Clock: 71 | Sent to machine 1
2025-03-05 09:15:23 | INTERNAL | Clock: 72 | Internal event
2025-03-05 09:15:23 | SEND | Clock: 73 | Sent to machine 1
2025-03-05 09:15:23 | INTERNAL | Clock: 74 | Internal event
2025-03-05 09:15:23 | SEND | Clock: 75 | Sent to machine 1
2025-03-05 09:15:24 | INTERNAL | Clock: 76 | Internal event
2025-03-05 09:15:24 | INTERNAL | Clock: 77 | Internal event
2025-03-05 09:15:24 | RECEIVE | Clock: 80 | Message clock: 79, Queue length: 0
2025-03-05 09:15:24 | SEND | Clock: 81 | Sent to machine 1
2025-03-05 09:15:24 | SEND | Clock: 82 | Sent to machine 3
2025-03-05 09:15:25 | SEND | Clock: 83 | Sent to machine 1
2025-03-05 09:15:25 | RECEIVE | Clock: 86 | Message clock: 85, Queue length: 0
2025-03-05 09:15:25 | INTERNAL | Clock: 87 | Internal event
2025-03-05 09:15:25 | SEND | Clock: 88 | Sent to machine 1
2025-03-05 09:15:25 | SEND | Clock: 89 | Sent to machine 3
2025-03-05 09:15:25 | INTERNAL | Clock: 90 | Internal event
2025-03-05 09:15:26 | INTERNAL | Clock: 91 | Internal event
2025-03-05 09:15:26 | SEND | Clock: 92 | Sent to machine 1
2025-03-05 09:15:26 | SEND | Clock: 93 | Sent to machine 3
2025-03-05 09:15:26 | INTERNAL | Clock: 94 | Internal event
2025-03-05 09:15:26 | INTERNAL | Clock: 95 | Internal event
2025-03-05 09:15:26 | RECEIVE | Clock: 97 | Message clock: 96, Queue length: 1
2025-03-05 09:15:27 | RECEIVE | Clock: 98 | Message clock: 94, Queue length: 0
2025-03-05 09:15:27 | INTERNAL | Clock: 99 | Internal event
2025-03-05 09:15:27 | RECEIVE | Clock: 100 | Message clock: 97, Queue length: 0
2025-03-05 09:15:27 | SEND | Clock: 101 | Sent to machine 1
2025-03-05 09:15:27 | INTERNAL | Clock: 102 | Internal event
2025-03-05 09:15:28 | RECEIVE | Clock: 104 | Message clock: 103, Queue length: 1
2025-03-05 09:15:28 | RECEIVE | Clock: 105 | Message clock: 104, Queue length: 0
2025-03-05 09:15:28 | INTERNAL | Clock: 106 | Internal event
2025-03-05 09:15:28 | INTERNAL | Clock: 107 | Internal event
2025-03-05 09:15:28 | INTERNAL | Clock: 108 | Internal event
2025-03-05 09:15:29 | RECEIVE | Clock: 109 | Message clock: 108, Queue length: 0
2025-03-05 09:15:29 | RECEIVE | Clock: 110 | Message clock: 109, Queue length: 0
2025-03-05 09:15:29 | INTERNAL | Clock: 111 | Internal event
2025-03-05 09:15:29 | SEND | Clock: 112 | Sent to machine 1
2025-03-05 09:15:29 | SEND | Clock: 113 | Sent to machine 3
2025-03-05 09:15:29 | RECEIVE | Clock: 117 | Message clock: 116, Queue length: 0
2025-03-05 09:15:30 | INTERNAL | Clock: 118 | Internal event
2025-03-05 09:15:30 | INTERNAL | Clock: 119 | Internal event
2025-03-05 09:15:30 | SEND | Clock: 120 | Sent to machine 1
2025-03-05 09:15:30 | INTERNAL | Clock: 121 | Internal event
2025-03-05 09:15:30 | INTERNAL | Clock: 122 | Internal event
2025-03-05 09:15:31 | INTERNAL | Clock: 123 | Internal event
2025-03-05 09:15:31 | INTERNAL | Clock: 124 | Internal event
2025-03-05 09:15:31 | RECEIVE | Clock: 125 | Message clock: 124, Queue length: 0
2025-03-05 09:15:31 | INTERNAL | Clock: 126 | Internal event
2025-03-05 09:15:31 | SEND | Clock: 127 | Sent to machine 1
2025-03-05 09:15:32 | RECEIVE | Clock: 131 | Message clock: 130, Queue length: 0
2025-03-05 09:15:32 | RECEIVE | Clock: 132 | Message clock: 131, Queue length: 0
2025-03-05 09:15:32 | RECEIVE | Clock: 133 | Message clock: 132, Queue length: 0
2025-03-05 09:15:32 | INTERNAL | Clock: 134 | Internal event
2025-03-05 09:15:32 | INTERNAL | Clock: 135 | Internal event
2025-03-05 09:15:33 | RECEIVE | Clock: 136 | Message clock: 132, Queue length: 0
2025-03-05 09:15:33 | SEND | Clock: 137 | Sent to machine 3
2025-03-05 09:15:33 | RECEIVE | Clock: 138 | Message clock: 135, Queue length: 0
2025-03-05 09:15:33 | INTERNAL | Clock: 139 | Internal event
2025-03-05 09:15:33 | SEND | Clock: 140 | Sent to machine 1
2025-03-05 09:15:33 | SEND | Clock: 141 | Sent to machine 3
2025-03-05 09:15:34 | INTERNAL | Clock: 142 | Internal event
