Machine 1 log started at 2025-03-05 09:15:11.692863
Clock rate: 4 ticks per second
2025-03-05 09:15:12 | INTERNAL | Clock: 1 | Internal event
2025-03-05 09:15:12 | INTERNAL | Clock: 2 | Internal event
2025-03-05 09:15:13 | RECEIVE | Clock: 4 | Message clock: 3, Queue length: 1
2025-03-05 09:15:13 | RECEIVE | Clock: 6 | Message clock: 5, Queue length: 0
2025-03-05 09:15:13 | INTERNAL | Clock: 7 | Internal event
2025-03-05 09:15:13 | INTERNAL | Clock: 8 | Internal event
2025-03-05 09:15:14 | RECEIVE | Clock: 12 | Message clock: 11, Queue length: 1
2025-03-05 09:15:14 | RECEIVE | Clock: 13 | Message clock: 12, Queue length: 0
2025-03-05 09:15:14 | RECEIVE | Clock: 17 | Message clock: 16, Queue length: 0
2025-03-05 09:15:14 | SEND | Clock: 18 | Sent to machine 3
2025-03-05 09:15:15 | INTERNAL | Clock: 19 | Internal event
2025-03-05 09:15:15 | INTERNAL | Clock: 20 | Internal event
2025-03-05 09:15:15 | INTERNAL | Clock: 21 | Internal event
2025-03-05 09:15:15 | RECEIVE | Clock: 25 | Message clock: 24, Queue length: 0
2025-03-05 09:15:16 | RECEIVE | Clock: 26 | Message clock: 25, Queue length: 0
2025-03-05 09:15:16 | INTERNAL | Clock: 27 | Internal event
2025-03-05 09:15:16 | INTERNAL | Clock: 28 | Internal event
2025-03-05 09:15:17 | INTERNAL | Clock: 29 | Internal event
2025-03-05 09:15:17 | SEND | Clock: 30 | Sent to machine 3
2025-03-05 09:15:17 | SEND | Clock: 31 | Sent to machine 2
2025-03-05 09:15:17 | SEND | Clock: 32 | Sent to machine 3
2025-03-05 09:15:18 | INTERNAL | Clock: 33 | Internal event
2025-03-05 09:15:18 | INTERNAL | Clock: 34 | Internal event
2025-03-05 09:15:18 | INTERNAL | Clock: 35 | Internal event
2025-03-05 09:15:18 | SEND | Clock: 36 | Sent to machine 2
2025-03-05 09:15:19 | SEND | Clock: 37 | Sent to machine 3
2025-03-05 09:15:19 | SEND | Clock: 38 | Sent to machine 2
2025-03-05 09:15:19 | SEND | Clock: 39 | Sent to machine 2
2025-03-05 09:15:19 | SEND | Clock: 40 | Sent to machine 3
2025-03-05 09:15:20 | INTERNAL | Clock: 41 | Internal event
2025-03-05 09:15:20 | SEND | Clock: 42 | Sent to machine 3
2025-03-05 09:15:20 | SEND | Clock: 43 | Sent to machine 2
2025-03-05 09:15:20 | SEND | Clock: 44 | Sent to machine 3
2025-03-05 09:15:21 | SEND | Clock: 45 | Sent to machine 3
2025-03-05 09:15:21 | INTERNAL | Clock: 46 | Internal event
2025-03-05 09:15:21 | RECEIVE | Clock: 56 | Message clock: 55, Queue length: 0
2025-03-05 09:15:21 | RECEIVE | Clock: 60 | Message clock: 59, Queue length: 0
2025-03-05 09:15:22 | INTERNAL | Clock: 61 | Internal event
2025-03-05 09:15:22 | INTERNAL | Clock: 62 | Internal event
2025-03-05 09:15:22 | RECEIVE | Clock: 66 | Message clock: 65, Queue length: 1
2025-03-05 09:15:22 | RECEIVE | Clock: 67 | Message clock: 65, Queue length: 1
2025-03-05 09:15:23 | RECEIVE | Clock: 68 | Message clock: 66, Queue length: 1
2025-03-05 09:15:23 | RECEIVE | Clock: 69 | Message clock: 68, Queue length: 2
2025-03-05 09:15:23 | RECEIVE | Clock: 72 | Message clock: 71, Queue length: 2
2025-03-05 09:15:23 | RECEIVE | Clock: 73 | Message clock: 71, Queue length: 2
2025-03-05 09:15:24 | RECEIVE | Clock: 74 | Message clock: 73, Queue length: 2
2025-03-05 09:15:24 | RECEIVE | Clock: 75 | Message clock: 74, Queue length: 1
2025-03-05 09:15:24 | RECEIVE | Clock: 76 | Message clock: 75, Queue length: 0
2025-03-05 09:15:24 | RECEIVE | Clock: 82 | Message clock: 81, Queue length: 0
2025-03-05 09:15:25 | RECEIVE | Clock: 84 | Message clock: 83, Queue length: 1
2025-03-05 09:15:25 | RECEIVE | Clock: 85 | Message clock: 84, Queue length: 0
2025-03-05 09:15:25 | RECEIVE | Clock: 89 | Message clock: 88, Queue length: 0
2025-03-05 09:15:25 | INTERNAL | Clock: 90 | Internal event
2025-03-05 09:15:26 | INTERNAL | Clock: 91 | Internal event
2025-03-05 09:15:26 | RECEIVE | Clock: 93 | Message clock: 92, Queue length: 0
2025-03-05 09:15:26 | SEND | Clock: 94 | Sent to machine 2
2025-03-05 09:15:26 | INTERNAL | Clock: 95 | Internal event
2025-03-05 09:15:27 | SEND | Clock: 96 | Sent to machine 3
2025-03-05 09:15:27 | SEND | Clock: 97 | Sent to machine 2
2025-03-05 09:15:27 | SEND | Clock: 98 | Sent to machine 3
2025-03-05 09:15:27 | RECEIVE | Clock: 102 | Message clock: 101, Queue length: 0
2025-03-05 09:15:27 | SEND | Clock: 103 | Sent to machine 2
2025-03-05 09:15:28 | INTERNAL | Clock: 104 | Internal event
2025-03-05 09:15:28 | RECEIVE | Clock: 106 | Message clock: 105, Queue length: 0
2025-03-05 09:15:28 | INTERNAL | Clock: 107 | Internal event
2025-03-05 09:15:28 | SEND | Clock: 108 | Sent to machine 2
2025-03-05 09:15:29 | SEND | Clock: 109 | Sent to machine 2
2025-03-05 09:15:29 | SEND | Clock: 110 | Sent to machine 3
2025-03-05 09:15:29 | RECEIVE | Clock: 113 | Message clock: 112, Queue length: 0
2025-03-05 09:15:29 | RECEIVE | Clock: 114 | Message clock: 112, Queue length: 0
2025-03-05 09:15:29 | RECEIVE | Clock: 116 | Message clock: 115, Queue length: 0
2025-03-05 09:15:30 | INTERNAL | Clock: 117 | Internal event
2025-03-05 09:15:30 | INTERNAL | Clock: 118 | Internal event
2025-03-05 09:15:30 | RECEIVE | Clock: 121 | Message clock: 120, Queue length: 0
2025-03-05 09:15:30 | INTERNAL | Clock: 122 | Internal event
2025-03-05 09:15:31 | SEND | Clock: 123 | Sent to machine 3
2025-03-05 09:15:31 | SEND | Clock: 124 | Sent to machine 2
2025-03-05 09:15:31 | INTERNAL | Clock: 125 | Internal event
