Machine 3 log started at 2025-03-05 09:15:12.672801
Clock rate: 6 ticks per second
2025-03-05 09:15:12 | INTERNAL | Clock: 1 | Internal event
2025-03-05 09:15:12 | INTERNAL | Clock: 2 | Internal event
2025-03-05 09:15:13 | SEND | Clock: 3 | Sent to machine 1
2025-03-05 09:15:13 | SEND | Clock: 4 | Sent to machine 2
2025-03-05 09:15:13 | SEND | Clock: 5 | Sent to machine 1
2025-03-05 09:15:13 | SEND | Clock: 6 | Sent to machine 2
2025-03-05 09:15:13 | INTERNAL | Clock: 7 | Internal event
2025-03-05 09:15:13 | INTERNAL | Clock: 8 | Internal event
2025-03-05 09:15:13 | RECEIVE | Clock: 9 | Message clock: 8, Queue length: 0
2025-03-05 09:15:13 | INTERNAL | Clock: 10 | Internal event
2025-03-05 09:15:14 | SEND | Clock: 11 | Sent to machine 1
2025-03-05 09:15:14 | SEND | Clock: 12 | Sent to machine 1
2025-03-05 09:15:14 | SEND | Clock: 13 | Sent to machine 2
2025-03-05 09:15:14 | INTERNAL | Clock: 14 | Internal event
2025-03-05 09:15:14 | INTERNAL | Clock: 15 | Internal event
2025-03-05 09:15:14 | SEND | Clock: 16 | Sent to machine 1
2025-03-05 09:15:14 | INTERNAL | Clock: 17 | Internal event
2025-03-05 09:15:15 | RECEIVE | Clock: 19 | Message clock: 18, Queue length: 0
2025-03-05 09:15:15 | INTERNAL | Clock: 20 | Internal event
2025-03-05 09:15:15 | SEND | Clock: 21 | Sent to machine 2
2025-03-05 09:15:15 | INTERNAL | Clock: 22 | Internal event
2025-03-05 09:15:15 | INTERNAL | Clock: 23 | Internal event
2025-03-05 09:15:15 | SEND | Clock: 24 | Sent to machine 1
2025-03-05 09:15:16 | SEND | Clock: 25 | Sent to machine 1
2025-03-05 09:15:16 | SEND | Clock: 26 | Sent to machine 2
2025-03-05 09:15:16 | INTERNAL | Clock: 27 | Internal event
2025-03-05 09:15:16 | INTERNAL | Clock: 28 | Internal event
2025-03-05 09:15:16 | INTERNAL | Clock: 29 | Internal event
2025-03-05 09:15:16 | INTERNAL | Clock: 30 | Internal event
2025-03-05 09:15:16 | INTERNAL | Clock: 31 | Internal event
2025-03-05 09:15:17 | INTERNAL | Clock: 32 | Internal event
2025-03-05 09:15:17 | INTERNAL | Clock: 33 | Internal event
2025-03-05 09:15:17 | RECEIVE | Clock: 34 | Message clock: 30, Queue length: 0
2025-03-05 09:15:17 | INTERNAL | Clock: 35 | Internal event
