Machine 3 log started at 2025-03-05 12:46:03.415987
Clock rate: 3.25 ticks per second
2025-03-05 12:46:27 | INTERNAL | Clock: 104 | Internal event
2025-03-05 12:46:28 | INTERNAL | Clock: 105 | Internal event
2025-03-05 12:46:28 | RECEIVE | Clock: 108 | Message clock: 107, Queue length: 1
2025-03-05 12:46:28 | RECEIVE | Clock: 110 | Message clock: 109, Queue length: 0
2025-03-05 12:46:28 | INTERNAL | Clock: 111 | Internal event
2025-03-05 12:46:29 | INTERNAL | Clock: 112 | Internal event
2025-03-05 12:46:29 | INTERNAL | Clock: 113 | Internal event
2025-03-05 12:46:29 | RECEIVE | Clock: 116 | Message clock: 115, Queue length: 0
2025-03-05 12:46:30 | INTERNAL | Clock: 117 | Internal event
2025-03-05 12:46:30 | RECEIVE | Clock: 120 | Message clock: 119, Queue length: 0
2025-03-05 12:46:30 | INTERNAL | Clock: 121 | Internal event
2025-03-05 12:46:31 | INTERNAL | Clock: 122 | Internal event
2025-03-05 12:46:31 | RECEIVE | Clock: 124 | Message clock: 123, Queue length: 0
2025-03-05 12:46:31 | INTERNAL | Clock: 125 | Internal event
2025-03-05 12:46:32 | INTERNAL | Clock: 126 | Internal event
2025-03-05 12:46:32 | INTERNAL | Clock: 127 | Internal event
2025-03-05 12:46:32 | RECEIVE | Clock: 128 | Message clock: 127, Queue length: 0
2025-03-05 12:46:33 | RECEIVE | Clock: 131 | Message clock: 130, Queue length: 0
2025-03-05 12:46:33 | SEND | Clock: 132 | Sent to machine 1
2025-03-05 12:46:33 | INTERNAL | Clock: 133 | Internal event
2025-03-05 12:46:33 | SEND | Clock: 134 | Sent to machine 2
2025-03-05 12:46:34 | RECEIVE | Clock: 136 | Message clock: 135, Queue length: 0
2025-03-05 12:46:34 | RECEIVE | Clock: 138 | Message clock: 137, Queue length: 0
2025-03-05 12:46:34 | SEND | Clock: 139 | Sent to machine 1
2025-03-05 12:46:34 | SEND | Clock: 140 | Sent to machine 2
2025-03-05 12:46:35 | INTERNAL | Clock: 141 | Internal event
2025-03-05 12:46:35 | INTERNAL | Clock: 142 | Internal event
2025-03-05 12:46:35 | INTERNAL | Clock: 143 | Internal event
2025-03-05 12:46:36 | SEND | Clock: 144 | Sent to machine 1
2025-03-05 12:46:36 | SEND | Clock: 145 | Sent to machine 2
2025-03-05 12:46:36 | INTERNAL | Clock: 146 | Internal event
2025-03-05 12:46:36 | INTERNAL | Clock: 147 | Internal event
2025-03-05 12:46:37 | INTERNAL | Clock: 148 | Internal event
2025-03-05 12:46:37 | INTERNAL | Clock: 149 | Internal event
2025-03-05 12:46:37 | SEND | Clock: 150 | Sent to machine 2
2025-03-05 12:46:38 | INTERNAL | Clock: 151 | Internal event
2025-03-05 12:46:38 | INTERNAL | Clock: 152 | Internal event
2025-03-05 12:46:38 | RECEIVE | Clock: 154 | Message clock: 153, Queue length: 0
2025-03-05 12:46:38 | INTERNAL | Clock: 155 | Internal event
2025-03-05 12:46:39 | INTERNAL | Clock: 156 | Internal event
2025-03-05 12:46:39 | INTERNAL | Clock: 157 | Internal event
2025-03-05 12:46:39 | SEND | Clock: 158 | Sent to machine 2
2025-03-05 12:46:40 | INTERNAL | Clock: 159 | Internal event
2025-03-05 12:46:40 | RECEIVE | Clock: 163 | Message clock: 162, Queue length: 0
2025-03-05 12:46:40 | INTERNAL | Clock: 164 | Internal event
2025-03-05 12:46:41 | SEND | Clock: 165 | Sent to machine 1
2025-03-05 12:46:41 | INTERNAL | Clock: 166 | Internal event
2025-03-05 12:46:41 | RECEIVE | Clock: 167 | Message clock: 166, Queue length: 0
2025-03-05 12:46:42 | INTERNAL | Clock: 168 | Internal event
2025-03-05 12:46:42 | INTERNAL | Clock: 169 | Internal event
2025-03-05 12:46:42 | SEND | Clock: 170 | Sent to machine 1
2025-03-05 12:46:43 | SEND | Clock: 171 | Sent to machine 1
2025-03-05 12:46:43 | SEND | Clock: 172 | Sent to machine 2
2025-03-05 12:46:43 | INTERNAL | Clock: 173 | Internal event
2025-03-05 12:46:43 | RECEIVE | Clock: 176 | Message clock: 175, Queue length: 0
2025-03-05 12:46:43 | RECEIVE | Clock: 177 | Message clock: 174, Queue length: 0
2025-03-05 12:46:44 | INTERNAL | Clock: 178 | Internal event
2025-03-05 12:46:44 | SEND | Clock: 179 | Sent to machine 1
2025-03-05 12:46:44 | INTERNAL | Clock: 180 | Internal event
2025-03-05 12:46:45 | SEND | Clock: 181 | Sent to machine 1
2025-03-05 12:46:45 | SEND | Clock: 182 | Sent to machine 2
2025-03-05 12:46:45 | INTERNAL | Clock: 183 | Internal event
2025-03-05 12:46:45 | RECEIVE | Clock: 185 | Message clock: 184, Queue length: 0
2025-03-05 12:46:46 | RECEIVE | Clock: 187 | Message clock: 186, Queue length: 0
2025-03-05 12:46:46 | INTERNAL | Clock: 188 | Internal event
2025-03-05 12:46:46 | RECEIVE | Clock: 189 | Message clock: 188, Queue length: 0
2025-03-05 12:46:47 | RECEIVE | Clock: 191 | Message clock: 190, Queue length: 0
2025-03-05 12:46:47 | SEND | Clock: 192 | Sent to machine 1
2025-03-05 12:46:47 | INTERNAL | Clock: 193 | Internal event
2025-03-05 12:46:48 | INTERNAL | Clock: 194 | Internal event
2025-03-05 12:46:48 | INTERNAL | Clock: 195 | Internal event
2025-03-05 12:46:48 | SEND | Clock: 196 | Sent to machine 2
2025-03-05 12:46:48 | RECEIVE | Clock: 198 | Message clock: 197, Queue length: 0
2025-03-05 12:46:49 | INTERNAL | Clock: 199 | Internal event
2025-03-05 12:46:49 | INTERNAL | Clock: 200 | Internal event
2025-03-05 12:46:49 | SEND | Clock: 201 | Sent to machine 2
2025-03-05 12:46:50 | SEND | Clock: 202 | Sent to machine 1
2025-03-05 12:46:50 | INTERNAL | Clock: 203 | Internal event
2025-03-05 12:46:50 | RECEIVE | Clock: 206 | Message clock: 205, Queue length: 0
2025-03-05 12:46:51 | INTERNAL | Clock: 207 | Internal event
2025-03-05 12:46:51 | RECEIVE | Clock: 208 | Message clock: 207, Queue length: 0
2025-03-05 12:46:51 | RECEIVE | Clock: 210 | Message clock: 209, Queue length: 0
2025-03-05 12:46:52 | INTERNAL | Clock: 211 | Internal event
2025-03-05 12:46:52 | INTERNAL | Clock: 212 | Internal event
2025-03-05 12:46:52 | INTERNAL | Clock: 213 | Internal event
2025-03-05 12:46:52 | INTERNAL | Clock: 214 | Internal event
2025-03-05 12:46:53 | INTERNAL | Clock: 215 | Internal event
2025-03-05 12:46:53 | INTERNAL | Clock: 216 | Internal event
2025-03-05 12:46:53 | INTERNAL | Clock: 217 | Internal event
2025-03-05 12:46:54 | SEND | Clock: 218 | Sent to machine 1
2025-03-05 12:46:54 | SEND | Clock: 219 | Sent to machine 2
2025-03-05 12:46:54 | INTERNAL | Clock: 220 | Internal event
2025-03-05 12:46:54 | RECEIVE | Clock: 222 | Message clock: 221, Queue length: 0
2025-03-05 12:46:55 | INTERNAL | Clock: 223 | Internal event
2025-03-05 12:46:55 | INTERNAL | Clock: 224 | Internal event
2025-03-05 12:46:55 | SEND | Clock: 225 | Sent to machine 1
2025-03-05 12:46:55 | SEND | Clock: 226 | Sent to machine 2
2025-03-05 12:46:56 | SEND | Clock: 227 | Sent to machine 2
2025-03-05 12:46:56 | RECEIVE | Clock: 228 | Message clock: 227, Queue length: 0
2025-03-05 12:46:56 | RECEIVE | Clock: 230 | Message clock: 229, Queue length: 0
2025-03-05 12:46:57 | RECEIVE | Clock: 232 | Message clock: 231, Queue length: 0
2025-03-05 12:46:57 | RECEIVE | Clock: 233 | Message clock: 232, Queue length: 0
2025-03-05 12:46:57 | RECEIVE | Clock: 234 | Message clock: 233, Queue length: 0
2025-03-05 12:46:57 | SEND | Clock: 235 | Sent to machine 2
2025-03-05 12:46:58 | SEND | Clock: 236 | Sent to machine 1
2025-03-05 12:46:58 | SEND | Clock: 237 | Sent to machine 2
2025-03-05 12:46:58 | SEND | Clock: 238 | Sent to machine 2
2025-03-05 12:46:58 | INTERNAL | Clock: 239 | Internal event
2025-03-05 12:46:59 | INTERNAL | Clock: 240 | Internal event
2025-03-05 12:46:59 | INTERNAL | Clock: 241 | Internal event
2025-03-05 12:46:59 | INTERNAL | Clock: 242 | Internal event
2025-03-05 12:47:00 | SEND | Clock: 243 | Sent to machine 2
2025-03-05 12:47:00 | SEND | Clock: 244 | Sent to machine 1
2025-03-05 12:47:00 | SEND | Clock: 245 | Sent to machine 2
2025-03-05 12:47:00 | INTERNAL | Clock: 246 | Internal event
2025-03-05 12:47:01 | INTERNAL | Clock: 247 | Internal event
2025-03-05 12:47:01 | INTERNAL | Clock: 248 | Internal event
2025-03-05 12:47:01 | RECEIVE | Clock: 252 | Message clock: 251, Queue length: 0
2025-03-05 12:47:02 | INTERNAL | Clock: 253 | Internal event
2025-03-05 12:47:02 | INTERNAL | Clock: 254 | Internal event
2025-03-05 12:47:02 | SEND | Clock: 255 | Sent to machine 1
2025-03-05 12:47:02 | INTERNAL | Clock: 256 | Internal event
2025-03-05 12:47:03 | RECEIVE | Clock: 260 | Message clock: 259, Queue length: 0
2025-03-05 12:47:03 | INTERNAL | Clock: 261 | Internal event
2025-03-05 12:47:03 | RECEIVE | Clock: 263 | Message clock: 262, Queue length: 0
2025-03-05 12:47:04 | INTERNAL | Clock: 264 | Internal event
2025-03-05 12:47:04 | INTERNAL | Clock: 265 | Internal event
2025-03-05 12:47:04 | INTERNAL | Clock: 266 | Internal event
2025-03-05 12:47:05 | SEND | Clock: 267 | Sent to machine 1
2025-03-05 12:47:05 | SEND | Clock: 268 | Sent to machine 2
2025-03-05 12:47:05 | INTERNAL | Clock: 269 | Internal event
2025-03-05 12:47:05 | RECEIVE | Clock: 271 | Message clock: 270, Queue length: 0
2025-03-05 12:47:06 | RECEIVE | Clock: 272 | Message clock: 271, Queue length: 0
2025-03-05 12:47:06 | INTERNAL | Clock: 273 | Internal event
2025-03-05 12:47:06 | RECEIVE | Clock: 274 | Message clock: 273, Queue length: 0
2025-03-05 12:47:07 | INTERNAL | Clock: 275 | Internal event
2025-03-05 12:47:07 | INTERNAL | Clock: 276 | Internal event
2025-03-05 12:47:07 | INTERNAL | Clock: 277 | Internal event
2025-03-05 12:47:07 | INTERNAL | Clock: 278 | Internal event
2025-03-05 12:47:08 | RECEIVE | Clock: 280 | Message clock: 279, Queue length: 0
2025-03-05 12:47:08 | SEND | Clock: 281 | Sent to machine 1
2025-03-05 12:47:08 | SEND | Clock: 282 | Sent to machine 2
2025-03-05 12:47:08 | SEND | Clock: 283 | Sent to machine 1
2025-03-05 12:47:08 | SEND | Clock: 284 | Sent to machine 2
2025-03-05 12:47:09 | SEND | Clock: 285 | Sent to machine 2
2025-03-05 12:47:09 | SEND | Clock: 286 | Sent to machine 1
2025-03-05 12:47:09 | INTERNAL | Clock: 287 | Internal event
2025-03-05 12:47:10 | INTERNAL | Clock: 288 | Internal event
2025-03-05 12:47:10 | INTERNAL | Clock: 289 | Internal event
2025-03-05 12:47:10 | RECEIVE | Clock: 291 | Message clock: 290, Queue length: 0
2025-03-05 12:47:11 | RECEIVE | Clock: 293 | Message clock: 292, Queue length: 0
2025-03-05 12:47:11 | INTERNAL | Clock: 294 | Internal event
2025-03-05 12:47:11 | RECEIVE | Clock: 295 | Message clock: 294, Queue length: 0
2025-03-05 12:47:11 | RECEIVE | Clock: 297 | Message clock: 296, Queue length: 0
2025-03-05 12:47:12 | RECEIVE | Clock: 299 | Message clock: 298, Queue length: 0
2025-03-05 12:47:12 | INTERNAL | Clock: 300 | Internal event
2025-03-05 12:47:12 | RECEIVE | Clock: 302 | Message clock: 301, Queue length: 0
2025-03-05 12:47:13 | INTERNAL | Clock: 303 | Internal event
2025-03-05 12:47:13 | RECEIVE | Clock: 305 | Message clock: 304, Queue length: 0
2025-03-05 12:47:13 | INTERNAL | Clock: 306 | Internal event
2025-03-05 12:47:14 | SEND | Clock: 307 | Sent to machine 1
2025-03-05 12:47:14 | SEND | Clock: 308 | Sent to machine 2
2025-03-05 12:47:14 | INTERNAL | Clock: 309 | Internal event
2025-03-05 12:47:14 | RECEIVE | Clock: 310 | Message clock: 309, Queue length: 0
2025-03-05 12:47:15 | INTERNAL | Clock: 311 | Internal event
2025-03-05 12:47:15 | INTERNAL | Clock: 312 | Internal event
