Machine 1 log started at 2025-03-05 12:46:02.409909
Clock rate: 3.48 ticks per second
2025-03-05 12:46:27 | RECEIVE | Clock: 103 | Message clock: 102, Queue length: 0
2025-03-05 12:46:27 | INTERNAL | Clock: 104 | Internal event
2025-03-05 12:46:28 | INTERNAL | Clock: 105 | Internal event
2025-03-05 12:46:28 | RECEIVE | Clock: 107 | Message clock: 106, Queue length: 0
2025-03-05 12:46:28 | RECEIVE | Clock: 109 | Message clock: 108, Queue length: 1
2025-03-05 12:46:28 | RECEIVE | Clock: 111 | Message clock: 110, Queue length: 0
2025-03-05 12:46:29 | INTERNAL | Clock: 112 | Internal event
2025-03-05 12:46:29 | INTERNAL | Clock: 113 | Internal event
2025-03-05 12:46:29 | RECEIVE | Clock: 115 | Message clock: 114, Queue length: 0
2025-03-05 12:46:30 | INTERNAL | Clock: 116 | Internal event
2025-03-05 12:46:30 | INTERNAL | Clock: 117 | Internal event
2025-03-05 12:46:30 | RECEIVE | Clock: 119 | Message clock: 118, Queue length: 0
2025-03-05 12:46:30 | INTERNAL | Clock: 120 | Internal event
2025-03-05 12:46:31 | RECEIVE | Clock: 122 | Message clock: 121, Queue length: 0
2025-03-05 12:46:31 | RECEIVE | Clock: 123 | Message clock: 122, Queue length: 0
2025-03-05 12:46:31 | INTERNAL | Clock: 124 | Internal event
2025-03-05 12:46:32 | INTERNAL | Clock: 125 | Internal event
2025-03-05 12:46:32 | INTERNAL | Clock: 126 | Internal event
2025-03-05 12:46:32 | SEND | Clock: 127 | Sent to machine 3
2025-03-05 12:46:32 | RECEIVE | Clock: 130 | Message clock: 129, Queue length: 0
2025-03-05 12:46:33 | INTERNAL | Clock: 131 | Internal event
2025-03-05 12:46:33 | RECEIVE | Clock: 133 | Message clock: 132, Queue length: 0
2025-03-05 12:46:33 | SEND | Clock: 134 | Sent to machine 2
2025-03-05 12:46:34 | SEND | Clock: 135 | Sent to machine 3
2025-03-05 12:46:34 | INTERNAL | Clock: 136 | Internal event
2025-03-05 12:46:34 | INTERNAL | Clock: 137 | Internal event
2025-03-05 12:46:35 | RECEIVE | Clock: 139 | Message clock: 138, Queue length: 1
2025-03-05 12:46:35 | RECEIVE | Clock: 140 | Message clock: 139, Queue length: 0
2025-03-05 12:46:35 | INTERNAL | Clock: 141 | Internal event
2025-03-05 12:46:35 | INTERNAL | Clock: 142 | Internal event
2025-03-05 12:46:36 | SEND | Clock: 143 | Sent to machine 2
2025-03-05 12:46:36 | RECEIVE | Clock: 145 | Message clock: 144, Queue length: 0
2025-03-05 12:46:36 | INTERNAL | Clock: 146 | Internal event
2025-03-05 12:46:37 | INTERNAL | Clock: 147 | Internal event
2025-03-05 12:46:37 | INTERNAL | Clock: 148 | Internal event
2025-03-05 12:46:37 | INTERNAL | Clock: 149 | Internal event
2025-03-05 12:46:37 | INTERNAL | Clock: 150 | Internal event
