Machine 3 log started at 2025-03-05 09:56:23.686916
Clock rate: 5 ticks per second
2025-03-05 09:56:23 | INTERNAL | Clock: 1 | Internal event
2025-03-05 09:56:23 | SEND | Clock: 2 | Sent to machine 2
2025-03-05 09:56:24 | SEND | Clock: 3 | Sent to machine 1
2025-03-05 09:56:24 | SEND | Clock: 4 | Sent to machine 2
2025-03-05 09:56:24 | SEND | Clock: 5 | Sent to machine 1
2025-03-05 09:56:24 | SEND | Clock: 6 | Sent to machine 2
2025-03-05 09:56:24 | INTERNAL | Clock: 7 | Internal event
2025-03-05 09:56:24 | SEND | Clock: 8 | Sent to machine 2
2025-03-05 09:56:24 | INTERNAL | Clock: 9 | Internal event
2025-03-05 09:56:25 | INTERNAL | Clock: 10 | Internal event
2025-03-05 09:56:25 | INTERNAL | Clock: 11 | Internal event
2025-03-05 09:56:25 | RECEIVE | Clock: 12 | Message clock: 8, Queue length: 0
2025-03-05 09:56:25 | INTERNAL | Clock: 13 | Internal event
2025-03-05 09:56:25 | INTERNAL | Clock: 14 | Internal event
2025-03-05 09:56:26 | RECEIVE | Clock: 15 | Message clock: 11, Queue length: 0
2025-03-05 09:56:26 | SEND | Clock: 16 | Sent to machine 2
2025-03-05 09:56:26 | INTERNAL | Clock: 17 | Internal event
2025-03-05 09:56:26 | RECEIVE | Clock: 18 | Message clock: 13, Queue length: 0
2025-03-05 09:56:26 | INTERNAL | Clock: 19 | Internal event
2025-03-05 09:56:27 | INTERNAL | Clock: 20 | Internal event
2025-03-05 09:56:27 | INTERNAL | Clock: 21 | Internal event
2025-03-05 09:56:27 | INTERNAL | Clock: 22 | Internal event
2025-03-05 09:56:27 | INTERNAL | Clock: 23 | Internal event
2025-03-05 09:56:27 | SEND | Clock: 24 | Sent to machine 2
2025-03-05 09:56:28 | INTERNAL | Clock: 25 | Internal event
2025-03-05 09:56:28 | INTERNAL | Clock: 26 | Internal event
2025-03-05 09:56:28 | SEND | Clock: 27 | Sent to machine 1
2025-03-05 09:56:28 | INTERNAL | Clock: 28 | Internal event
2025-03-05 09:56:28 | SEND | Clock: 29 | Sent to machine 1
2025-03-05 09:56:29 | SEND | Clock: 30 | Sent to machine 1
2025-03-05 09:56:29 | INTERNAL | Clock: 31 | Internal event
2025-03-05 09:56:29 | INTERNAL | Clock: 32 | Internal event
2025-03-05 09:56:29 | SEND | Clock: 33 | Sent to machine 1
2025-03-05 09:56:29 | SEND | Clock: 34 | Sent to machine 2
2025-03-05 09:56:29 | SEND | Clock: 35 | Sent to machine 2
2025-03-05 09:56:30 | INTERNAL | Clock: 36 | Internal event
2025-03-05 09:56:30 | INTERNAL | Clock: 37 | Internal event
2025-03-05 09:56:30 | SEND | Clock: 38 | Sent to machine 1
2025-03-05 09:56:30 | RECEIVE | Clock: 39 | Message clock: 38, Queue length: 0
2025-03-05 09:56:31 | INTERNAL | Clock: 40 | Internal event
2025-03-05 09:56:31 | INTERNAL | Clock: 41 | Internal event
2025-03-05 09:56:31 | RECEIVE | Clock: 42 | Message clock: 40, Queue length: 0
2025-03-05 09:56:31 | INTERNAL | Clock: 43 | Internal event
2025-03-05 09:56:31 | SEND | Clock: 44 | Sent to machine 1
2025-03-05 09:56:31 | SEND | Clock: 45 | Sent to machine 2
2025-03-05 09:56:32 | SEND | Clock: 46 | Sent to machine 1
2025-03-05 09:56:32 | SEND | Clock: 47 | Sent to machine 2
2025-03-05 09:56:32 | SEND | Clock: 48 | Sent to machine 1
2025-03-05 09:56:32 | SEND | Clock: 49 | Sent to machine 2
2025-03-05 09:56:32 | INTERNAL | Clock: 50 | Internal event
2025-03-05 09:56:32 | INTERNAL | Clock: 51 | Internal event
2025-03-05 09:56:32 | SEND | Clock: 52 | Sent to machine 2
2025-03-05 09:56:33 | INTERNAL | Clock: 53 | Internal event
2025-03-05 09:56:33 | INTERNAL | Clock: 54 | Internal event
2025-03-05 09:56:33 | SEND | Clock: 55 | Sent to machine 1
2025-03-05 09:56:33 | SEND | Clock: 56 | Sent to machine 2
2025-03-05 09:56:33 | INTERNAL | Clock: 57 | Internal event
2025-03-05 09:56:33 | SEND | Clock: 58 | Sent to machine 2
2025-03-05 09:56:34 | INTERNAL | Clock: 59 | Internal event
2025-03-05 09:56:34 | SEND | Clock: 60 | Sent to machine 2
2025-03-05 09:56:34 | INTERNAL | Clock: 61 | Internal event
2025-03-05 09:56:34 | RECEIVE | Clock: 64 | Message clock: 63, Queue length: 0
2025-03-05 09:56:34 | INTERNAL | Clock: 65 | Internal event
2025-03-05 09:56:35 | RECEIVE | Clock: 66 | Message clock: 65, Queue length: 0
2025-03-05 09:56:35 | SEND | Clock: 67 | Sent to machine 1
2025-03-05 09:56:35 | SEND | Clock: 68 | Sent to machine 2
2025-03-05 09:56:35 | SEND | Clock: 69 | Sent to machine 1
2025-03-05 09:56:35 | SEND | Clock: 70 | Sent to machine 2
2025-03-05 09:56:35 | SEND | Clock: 71 | Sent to machine 1
2025-03-05 09:56:35 | SEND | Clock: 72 | Sent to machine 2
2025-03-05 09:56:35 | INTERNAL | Clock: 73 | Internal event
2025-03-05 09:56:36 | INTERNAL | Clock: 74 | Internal event
2025-03-05 09:56:36 | INTERNAL | Clock: 75 | Internal event
2025-03-05 09:56:36 | INTERNAL | Clock: 76 | Internal event
2025-03-05 09:56:36 | INTERNAL | Clock: 77 | Internal event
2025-03-05 09:56:36 | INTERNAL | Clock: 78 | Internal event
2025-03-05 09:56:37 | SEND | Clock: 79 | Sent to machine 1
2025-03-05 09:56:37 | SEND | Clock: 80 | Sent to machine 2
2025-03-05 09:56:37 | INTERNAL | Clock: 81 | Internal event
2025-03-05 09:56:37 | SEND | Clock: 82 | Sent to machine 2
2025-03-05 09:56:37 | INTERNAL | Clock: 83 | Internal event
2025-03-05 09:56:37 | SEND | Clock: 84 | Sent to machine 1
2025-03-05 09:56:37 | SEND | Clock: 85 | Sent to machine 2
2025-03-05 09:56:38 | INTERNAL | Clock: 86 | Internal event
2025-03-05 09:56:38 | SEND | Clock: 87 | Sent to machine 2
2025-03-05 09:56:38 | INTERNAL | Clock: 88 | Internal event
2025-03-05 09:56:38 | RECEIVE | Clock: 91 | Message clock: 90, Queue length: 0
2025-03-05 09:56:38 | SEND | Clock: 92 | Sent to machine 2
2025-03-05 09:56:39 | INTERNAL | Clock: 93 | Internal event
