Machine 2 log started at 2025-03-05 09:56:23.189826
Clock rate: 3 ticks per second
2025-03-05 09:56:24 | RECEIVE | Clock: 3 | Message clock: 2, Queue length: 1
2025-03-05 09:56:24 | RECEIVE | Clock: 5 | Message clock: 4, Queue length: 1
2025-03-05 09:56:24 | RECEIVE | Clock: 7 | Message clock: 6, Queue length: 1
2025-03-05 09:56:25 | RECEIVE | Clock: 9 | Message clock: 8, Queue length: 0
2025-03-05 09:56:25 | RECEIVE | Clock: 10 | Message clock: 7, Queue length: 0
2025-03-05 09:56:25 | INTERNAL | Clock: 11 | Internal event
2025-03-05 09:56:26 | RECEIVE | Clock: 12 | Message clock: 10, Queue length: 0
2025-03-05 09:56:26 | RECEIVE | Clock: 17 | Message clock: 16, Queue length: 0
2025-03-05 09:56:26 | INTERNAL | Clock: 18 | Internal event
2025-03-05 09:56:27 | INTERNAL | Clock: 19 | Internal event
2025-03-05 09:56:27 | INTERNAL | Clock: 20 | Internal event
2025-03-05 09:56:27 | INTERNAL | Clock: 21 | Internal event
2025-03-05 09:56:28 | RECEIVE | Clock: 25 | Message clock: 24, Queue length: 1
2025-03-05 09:56:28 | RECEIVE | Clock: 26 | Message clock: 17, Queue length: 0
2025-03-05 09:56:28 | INTERNAL | Clock: 27 | Internal event
2025-03-05 09:56:29 | INTERNAL | Clock: 28 | Internal event
2025-03-05 09:56:29 | INTERNAL | Clock: 29 | Internal event
2025-03-05 09:56:29 | RECEIVE | Clock: 35 | Message clock: 34, Queue length: 0
2025-03-05 09:56:30 | RECEIVE | Clock: 36 | Message clock: 35, Queue length: 0
2025-03-05 09:56:30 | SEND | Clock: 37 | Sent to machine 1
2025-03-05 09:56:30 | SEND | Clock: 38 | Sent to machine 3
2025-03-05 09:56:30 | SEND | Clock: 39 | Sent to machine 1
2025-03-05 09:56:31 | SEND | Clock: 40 | Sent to machine 3
2025-03-05 09:56:31 | INTERNAL | Clock: 41 | Internal event
2025-03-05 09:56:31 | RECEIVE | Clock: 43 | Message clock: 42, Queue length: 1
2025-03-05 09:56:32 | RECEIVE | Clock: 46 | Message clock: 45, Queue length: 2
2025-03-05 09:56:32 | RECEIVE | Clock: 48 | Message clock: 47, Queue length: 1
2025-03-05 09:56:32 | RECEIVE | Clock: 50 | Message clock: 49, Queue length: 1
2025-03-05 09:56:33 | RECEIVE | Clock: 53 | Message clock: 52, Queue length: 0
2025-03-05 09:56:33 | RECEIVE | Clock: 57 | Message clock: 56, Queue length: 0
2025-03-05 09:56:33 | RECEIVE | Clock: 59 | Message clock: 58, Queue length: 0
2025-03-05 09:56:34 | RECEIVE | Clock: 61 | Message clock: 60, Queue length: 0
2025-03-05 09:56:34 | SEND | Clock: 62 | Sent to machine 1
2025-03-05 09:56:34 | SEND | Clock: 63 | Sent to machine 3
2025-03-05 09:56:34 | SEND | Clock: 64 | Sent to machine 1
2025-03-05 09:56:34 | SEND | Clock: 65 | Sent to machine 3
2025-03-05 09:56:35 | RECEIVE | Clock: 69 | Message clock: 68, Queue length: 0
2025-03-05 09:56:35 | RECEIVE | Clock: 71 | Message clock: 70, Queue length: 0
2025-03-05 09:56:36 | RECEIVE | Clock: 73 | Message clock: 72, Queue length: 0
2025-03-05 09:56:36 | INTERNAL | Clock: 74 | Internal event
2025-03-05 09:56:36 | INTERNAL | Clock: 75 | Internal event
2025-03-05 09:56:37 | INTERNAL | Clock: 76 | Internal event
2025-03-05 09:56:37 | RECEIVE | Clock: 81 | Message clock: 80, Queue length: 0
2025-03-05 09:56:37 | RECEIVE | Clock: 83 | Message clock: 82, Queue length: 0
2025-03-05 09:56:38 | RECEIVE | Clock: 86 | Message clock: 85, Queue length: 0
2025-03-05 09:56:38 | RECEIVE | Clock: 88 | Message clock: 87, Queue length: 0
2025-03-05 09:56:38 | SEND | Clock: 89 | Sent to machine 1
2025-03-05 09:56:38 | SEND | Clock: 90 | Sent to machine 3
2025-03-05 09:56:39 | RECEIVE | Clock: 93 | Message clock: 92, Queue length: 0
2025-03-05 09:56:39 | RECEIVE | Clock: 94 | Message clock: 91, Queue length: 1
2025-03-05 09:56:39 | RECEIVE | Clock: 96 | Message clock: 95, Queue length: 0
2025-03-05 09:56:40 | SEND | Clock: 97 | Sent to machine 1
2025-03-05 09:56:40 | SEND | Clock: 98 | Sent to machine 3
2025-03-05 09:56:40 | INTERNAL | Clock: 99 | Internal event
2025-03-05 09:56:40 | INTERNAL | Clock: 100 | Internal event
2025-03-05 09:56:41 | RECEIVE | Clock: 101 | Message clock: 100, Queue length: 0
2025-03-05 09:56:41 | RECEIVE | Clock: 105 | Message clock: 104, Queue length: 0
2025-03-05 09:56:41 | RECEIVE | Clock: 106 | Message clock: 102, Queue length: 0
2025-03-05 09:56:42 | RECEIVE | Clock: 108 | Message clock: 107, Queue length: 1
2025-03-05 09:56:42 | RECEIVE | Clock: 109 | Message clock: 108, Queue length: 0
2025-03-05 09:56:42 | INTERNAL | Clock: 110 | Internal event
